lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth
hr	mt	OnlineB_review_beauty_12_4.conllu	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.82	0.7	0.24	0.576	50
hr	mt	OnlineB_review_beauty_14_5.conllu	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0.75	0.714	0.204	0.441	54
hr	mt	OnlineB_review_beauty_17_5.conllu	2	0	2	0	1	0	1	2	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0.691	0.673	0.218	0.403	55
hr	mt	OnlineB_review_beauty_18_5.conllu	2	2	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0.724	0.707	0.246	0.478	57
hr	mt	OnlineB_review_beauty_21_5.conllu	2	2	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0.678	0.644	0.186	0.529	59
hr	mt	OnlineB_review_beauty_25_5.conllu	2	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0.878	0.796	0.286	0.517	49
hr	mt	OnlineB_review_beauty_53_1.conllu	4	2	1	0	1	1	1	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0.835	0.736	0.144	0.456	90
hr	mt	OnlineB_review_beauty_58_1.conllu	2	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0.698	0.651	0.21	0.455	62
hr	mt	OnlineB_review_beauty_62_1.conllu	3	0	0	0	0	0	1	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0.806	0.726	0.226	0.507	62
hr	mt	OnlineB_review_beauty_6_5.conllu	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0.747	0.667	0.149	0.409	74
hr	mt	OnlineB_review_beauty_82_1.conllu	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0.746	0.222	0.449	63
hr	mt	OnlineB_review_beauty_87_1.conllu	1	0	1	2	0	0	2	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0.825	0.719	0.236	0.545	55
hr	mt	OnlineB_review_beauty_88_1.conllu	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0.712	0.575	0.164	0.435	73
hr	mt	OnlineB_review_beauty_93_1.conllu	3	0	1	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0.792	0.694	0.197	0.444	71
hr	mt	OnlineB_review_books_11_5.conllu	2	1	0	1	0	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0.815	0.759	0.204	0.354	54
hr	mt	OnlineB_review_books_14_4.conllu	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0.826	0.783	0.261	0.509	46
hr	mt	OnlineB_review_books_16_1.conllu	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0.778	0.667	0.264	0.463	53
hr	mt	OnlineB_review_books_172_1.conllu	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0.761	0.701	0.209	0.544	67
hr	mt	OnlineB_review_books_18_4.conllu	2	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0.79	0.667	0.16	0.458	81
hr	mt	OnlineB_review_books_19_4.conllu	2	1	0	4	0	0	0	1	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	1	0.851	0.723	0.16	0.509	94
hr	mt	OnlineB_review_books_1_4.conllu	1	2	0	0	0	1	1	1	0	2	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0.926	0.87	0.241	0.54	54
hr	mt	OnlineB_review_books_233_1.conllu	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.831	0.763	0.203	0.544	59
hr	mt	OnlineB_review_books_268_2.conllu	1	1	1	1	1	1	0	0	2	0	0	0	1	1	0	1	0	0	0	1	0	2	0	0	2	0.756	0.651	0.14	0.441	86
hr	mt	OnlineB_review_books_302_2.conllu	3	1	1	1	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0.78	0.732	0.148	0.417	81
hr	mt	OnlineB_review_books_311_1.conllu	2	4	1	0	1	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0.79	0.679	0.16	0.447	81
hr	mt	OnlineB_review_books_5_5.conllu	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	1	0.839	0.661	0.194	0.575	62
hr	mt	OnlineB_review_books_77_2.conllu	2	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0.693	0.6	0.16	0.385	75
