	EN	RU_prof	RU_stud	HR_prof	HR_stud
acl	184	214	214	356	359
advcl	307	219	171	179	189
advmod	558	562	598	572	596
amod	980	1160	1140	1403	1358
appos	128	293	299	50	58
aux	405	24	32	1013	1011
case	1932	1953	1900	1725	1695
cc	442	467	451	505	495
ccomp	296	188	188	271	280
conj	480	667	634	579	575
cop	243	86	70	239	215
csubj	14	30	33	24	20
det	1431	385	346	286	322
discourse	5	4	4	76	78
fixed	60	158	177	81	80
mark	580	460	379	490	506
nmod	775	1859	1920	1530	1417
nsubj	1277	1309	1211	1287	1303
nummod	241	254	272	240	235
obj	830	627	584	723	704
obl	968	1418	1433	1107	1136
parataxis	72	244	216	136	133
punct	1936	2843	2741	1690	1826
root	721	697	710	724	727
xcomp	238	174	169	209	231
