	lemma_tot	lemma_uniq	TTR
EN_news	18089	3340	5.41586826347305
EN_reviews	16342	2350	6.95404255319149
RU_news_prof	17914	3777	4.74291765951814
RU_news_stud	17512	3802	4.60599684376644
RU_reviews_prof	15163	2667	5.6854143232096
RU_reviews_stud	15116	2771	5.45507037170697
HR_news_prof	17215	3809	4.51955893935416
HR_news_stud	17241	3775	4.5671523178808
HR_reviews_prof	14785	2785	5.30879712746858
HR_reviews_stud	14809	2838	5.21811134601832
FI_reviews_prof	12723	2667	4.77052868391451
FI_reviews_stud	13212	2783	4.74739489759253
