lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
hr	mt	OnlineB_review_beauty_12_4.conllu	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.82	0.7	0.24	0.576	50	3	7	2	5	3	7	0	6	0	3	2	3	4	0	0	5	0	0
hr	mt	OnlineB_review_beauty_14_5.conllu	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0.75	0.714	0.204	0.441	54	7	4	5	4	5	2	0	13	0	1	0	0	6	2	0	5	0	0
hr	mt	OnlineB_review_beauty_17_5.conllu	2	0	2	0	1	0	1	2	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0.691	0.673	0.218	0.403	55	7	1	4	1	2	4	0	9	0	1	3	0	8	2	0	13	0	0
hr	mt	OnlineB_review_beauty_18_5.conllu	2	2	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0.724	0.707	0.246	0.478	57	7	7	1	4	1	2	0	16	1	1	1	1	6	4	0	5	0	0
hr	mt	OnlineB_review_beauty_21_5.conllu	2	2	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0.678	0.644	0.186	0.529	59	9	4	2	7	2	5	0	14	1	0	2	0	7	0	0	6	0	0
hr	mt	OnlineB_review_beauty_25_5.conllu	2	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0.878	0.796	0.286	0.517	49	6	2	4	3	4	5	0	6	1	2	1	1	6	1	0	7	0	0
hr	mt	OnlineB_review_beauty_53_1.conllu	4	2	1	0	1	1	1	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0.835	0.736	0.144	0.456	90	15	4	10	7	5	0	0	19	2	4	1	1	12	3	0	7	0	0
hr	mt	OnlineB_review_beauty_58_1.conllu	2	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0.698	0.651	0.21	0.455	62	3	1	2	7	4	7	0	15	0	1	2	2	8	2	0	8	0	0
hr	mt	OnlineB_review_beauty_62_1.conllu	3	0	0	0	0	0	1	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0.806	0.726	0.226	0.507	62	8	3	2	2	2	5	0	8	1	4	5	4	8	1	0	9	0	0
hr	mt	OnlineB_review_beauty_6_5.conllu	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0.747	0.667	0.149	0.409	74	16	3	8	10	3	3	0	13	0	0	1	0	9	2	0	6	0	0
