lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexical variety	lemma variety	POS variety	richPOS variety	length	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
en	org	review_beauty_12_4.conllu	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0	0	0	0.655	0.561	0.228	0.316	57	4	6	2	5	3	6	0	9	0	2	6	3	4	2	0	5	0	0
en	org	review_beauty_14_5.conllu	1	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0.742	0.682	0.172	0.279	64	6	5	5	5	5	5	0	12	0	0	6	0	6	3	0	6	0	0
en	org	review_beauty_17_5.conllu	0	1	2	0	0	1	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.612	0.582	0.179	0.217	67	2	3	4	2	2	5	0	11	0	5	11	2	8	0	0	12	0	0
en	org	review_beauty_18_5.conllu	0	3	2	0	1	1	0	2	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0.689	0.672	0.23	0.278	61	3	6	1	5	0	3	0	18	1	1	6	1	7	2	0	6	1	0
en	org	review_beauty_21_5.conllu	3	0	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0.667	0.623	0.159	0.291	69	8	6	2	9	2	4	0	14	1	0	10	0	8	0	0	5	0	0
en	org	review_beauty_25_5.conllu	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0.78	0.695	0.237	0.359	59	7	3	5	7	4	3	0	6	2	3	7	1	4	0	1	6	0	0
en	org	review_beauty_53_1.conllu	2	1	0	0	1	0	1	2	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0.786	0.755	0.144	0.233	97	12	7	9	8	4	4	1	17	1	4	4	5	12	0	0	9	0	0
en	org	review_beauty_58_1.conllu	1	0	0	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0.634	0.575	0.165	0.301	79	3	2	2	7	4	9	0	14	0	4	14	2	9	1	0	8	0	0
en	org	review_beauty_62_1.conllu	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0.783	0.733	0.233	0.317	60	7	3	5	2	2	4	1	9	1	2	5	4	8	0	0	7	0	0
en	org	review_beauty_6_5.conllu	4	0	1	1	1	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	0	1	0	0	0	0.667	0.632	0.14	0.225	86	16	6	4	7	3	12	0	18	0	1	5	0	8	2	0	4	0	0
