	EN	RU_prof	RU_stud	RU_mt	HR_prof	HR_stud	FI_prof	FI_stud
ADJ	1234	1219	1252	1253	1369	1358	959	969
ADP	1159	1055	1119	1019	999	955	130	148
ADV	890	858	877	846	915	973	1046	1046
AUX	983	147	162	194	1251	1258	1031	1083
CCONJ	541	539	514	518	656	632	506	503
DET	1343	540	492	525	764	747	0	0
INTJ	16	3	1	4	27	25	18	20
NOUN	2580	2638	2648	2480	2528	2478	2465	2452
NUM	251	236	239	245	192	196	162	171
PART	483	526	549	496	199	234	0	0
PRON	1670	1186	1247	1437	600	646	1070	1265
PROPN	394	434	417	461	339	314	370	381
PUNCT	1581	2536	2430	2603	1601	1622	1823	1959
SCONJ	351	420	408	477	495	534	345	365
SYM	62	5	7	12	2	1	37	62
VERB	1775	1775	1750	1788	1766	1731	1630	1664
X	6	3	1	11	54	91	15	10
