abcnews.306755	prwmt	Warren plans to take a 'hard look' at running for president	Уоррен планирует "пристально следить" за президентской гонкой
abcnews.306755	prwmt	U.S. Sen. Elizabeth Warren says she'll take a "hard look at running for president" after the November elections.	Сенатор США Элизабет Уоррен говорит, что она будет "пристально следить за президентской гонкой" после ноябрьских выборов.
abcnews.306755	prwmt	The Boston Globe reports the Massachusetts Democrat spoke about her future during a town hall in western Massachusetts Saturday.	"Бостон Глоуб" сообщает, что демократ из Массачусетса говорила о своем будущем, когда была в ратуше в западном Массачусетсе в субботу.
abcnews.306755	prwmt	Warren, a frequent critic of President Donald Trump, is running for re-election in November against GOP state Rep. Geoff Diehl, who was co-chairman of Trump's 2016 Massachusetts campaign.	Уоорен, часто выступающая с критикой в адрес президента Дональда Трампа, готовится к перевыборам в ноябре против представителя республиканцев в этом штате Джеффа Диля, который был соруководителем кампании Трампа 2016 года в Массачусетсе.
abcnews.306755	prwmt	She has been at the center of speculation that she might take on Trump in 2020.	Она была в центре слухов о том, что она может соперничать с Трампом в 2020 году.
abcnews.306755	prwmt	Saturday afternoon's event in Holyoke was her 36th meeting with constituents using the town hall format since Trump took office.	Событие субботнего дня в Холиоке было ее 36й встречей с избирателями в формате ратуши с тех пор, как Трамп вступил в должность.
abcnews.306755	prwmt	An attendee asked her if she planned to run for president.	Один из посетителей спросил ее, планирует ли она баллотироваться в президенты.
abcnews.306755	prwmt	Warren replied that it's time "for women to go to Washington to fix our broken government, and that includes a woman at the top."	Уоррен ответила, что настало время "женщинам поехать в Вашингтон, чтобы починить наше сломанное правительство, а это включает в себя и женщину у руля".
abcnews.306758	prwmt	Mexico's AMLO vows not to use military against civilians	Мексиканский АМЛО обещает не использовать армию против гражданского населения
abcnews.306758	prwmt	Mexican President-elect Andres Manuel Lopez Obrador has vowed to never use military force against civilians as the country approaches the 50th anniversary of a bloody reprisal against students.	Избранный мексиканский президент Андрес Мануэль Лопес Обрадор пообещал не использовать армию против гражданского населения, когда страна стоит на пороге 50-летней годовщины кровавых репрессий против студентов. Избранный мексиканский президент Андрес Мануэль Лопес Обрадор поклялся не использовать армию против гражданского населения, когда страна стоит на пороге 50-летней годовщины кровавых репрессий против студентов.
abcnews.306758	prwmt	Lopez Obrador promised Saturday at Tlatelolco Plaza to "never ever use the military to repress the Mexican people."	Лопес Обрадор пообещал в субботу на площади Тлателолько "никогда в жизни не использовать армию для подавления мексиканского народа".
