abcnews.306755	st8	Warren plans to take a 'hard look' at running for president	Элизабет Уоррен планирует рассмотреть свою кандидатуру на пост президента
abcnews.306755	st8	U.S. Sen. Elizabeth Warren says she'll take a "hard look at running for president" after the November elections.	Сенатор США Элизабет Уоррен утверждает, что после ноябрьских выборов она «серьезно подумает о выдвижении своей кандидатуры на пост президента».
abcnews.306755	st8	The Boston Globe reports the Massachusetts Democrat spoke about her future during a town hall in western Massachusetts Saturday.	Американское издание Boston Globe сообщает, что представительница от демократов из Массачусетса рассказала о своем будущем в субботу в ратуше в западном Массачусетсе.
abcnews.306755	st8	Warren, a frequent critic of President Donald Trump, is running for re-election in November against GOP state Rep. Geoff Diehl, who was co-chairman of Trump's 2016 Massachusetts campaign.	Уоррен, частый критик президента Дональда Трампа, будет переизбираться в ноябре вместе с оппонентом - представителем Республиканской партии Джеффом Дилом, который был сопредседателем кампании Трампа в Массачусетсе в 2016 году.
abcnews.306755	st8	She has been at the center of speculation that she might take on Trump in 2020.	По слухам она может бросить вызов Трампу в 2020 году.
abcnews.306755	st8	Saturday afternoon's event in Holyoke was her 36th meeting with constituents using the town hall format since Trump took office.	В субботу в г. Холиок прошла 36-я встреча Уоррен с избирателями в формате общего собрания с момента вступления Трампа в должность.
abcnews.306755	st8	An attendee asked her if she planned to run for president.	Один из присутствующих спросил ее, планирует ли она баллотироваться в президенты.
abcnews.306755	st8	Warren replied that it's time "for women to go to Washington to fix our broken government, and that includes a woman at the top."	Уоррен ответила, что пора "женщинам поехать в Вашингтон, чтобы восстановить сломленное правительство и в том числе поставить женщину на руководящую должность".
abcnews.306758	st8	Mexico's AMLO vows not to use military against civilians	АМЛО обещает не использовать вооруженные силы против гражданского населения
abcnews.306758	st8	Mexican President-elect Andres Manuel Lopez Obrador has vowed to never use military force against civilians as the country approaches the 50th anniversary of a bloody reprisal against students.	Избранный президент Мексики Андрес Мануэль Лопес Обрадор (АМЛО) пообещал никогда не применять военную силу против гражданского населения, поскольку приближается 50-летие со дня кровавой расправы над студентами.
abcnews.306758	st8	Lopez Obrador promised Saturday at Tlatelolco Plaza to "never ever use the military to repress the Mexican people."	В субботу на площади Тлателолько Лопес Обрадор пообещал «никогда не использовать армию для подавления мексиканского народа».
abcnews.306758	st8	Troops fired on a peaceful demonstration at the plaza on Oct. 2, 1968, killing as many as 300 people at a time when leftist student movements were taking root throughout Latin America.	Войска обстреляли мирную демонстрацию на площади 2 октября 1968 года, убив 300 человек. В то время левые студенческие движения укоренялись по всей Латинской Америке.
abcnews.306758	st8	Lopez Obrador has pledged to support young Mexicans by giving monthly subsidies to those who study and opening more free public universities.	Президент пообещал поддерживать молодых мексиканцев, предоставляя ежемесячные субсидии тем, кто учится, и открывая больше бесплатных государственных университетов.
abcnews.306758	st8	He has said that unemployment and a lack of educational opportunities draws youth to criminal gangs.	Он заявил, что безработица и отсутствие возможностей для получения образования втягивают молодежь в преступные группировки.
abcnews.306764	st8	Volcano spews ash on Mexico City	Вулкан извергает пепел на Мехико
abcnews.306764	st8	Ash spewing from the Popocatepetl volcano has reached the southern neighborhoods of Mexico's capital.	Пепел, извергающийся из вулкана Попокатепетль, достиг южных районов столицы Мексики.
abcnews.306764	st8	The National Center for Disaster Prevention warned Mexicans on Saturday to stay away from the volcano after activity picked up in the crater and it registered 183 emissions of gas and ash over 24 hours.	Национальный центр по предотвращению стихийных бедствий в субботу рекомендовал жителям Мексики держаться подальше от вулкана после того, как в кратере активизировалась активность и было зарегистрировано 183 выброса газа и пепла за 24 часа.
abcnews.306764	st8	The center was monitoring multiple rumblings and tremors.	Центр отслеживал множественные колебания и вибрации.
abcnews.306764	st8	Images on social media showed thin layers of ash coating car windshields in neighborhoods of Mexico City such as Xochimilco.	На изображениях в социальных сетях виден тонкий слой пепла, покрывающий лобовые стекла автомобилей в таких районах Мехико, как Сочимилько.
abcnews.306764	st8	Geophysicists have noticed an increase in activity at the volcano that sits 45 miles (72 kilometers) southeast of the capital since a 7.1-magnitude earthquake rocked central Mexico in September 2017.	Геофизики заметили усиление активности вулкана, который находится в 45 милях (72 км) к юго-востоку от столицы после землетрясения в 7,1 балла в центральной Мексике в сентябре 2017 года.
abcnews.306764	st8	The volcano known as "Don Goyo" has been active since 1994.	Вулкан, известный как «Дон Гойо», действует с 1994 года.
abcnews.306776	st8	Analyst lays out timeline of night woman was burned alive	Хронология ночи, когда была заживо сожжена женщина 
