reviews/en/conllu/review_beauty_12_4.conllu	0.655	0.561	0.228	0.316	57
reviews/en/conllu/review_beauty_14_5.conllu	0.742	0.682	0.172	0.279	64
reviews/en/conllu/review_beauty_17_5.conllu	0.612	0.582	0.179	0.217	67
reviews/en/conllu/review_beauty_18_5.conllu	0.689	0.672	0.230	0.278	61
reviews/en/conllu/review_beauty_21_5.conllu	0.667	0.623	0.159	0.291	69
reviews/en/conllu/review_beauty_25_5.conllu	0.780	0.695	0.237	0.359	59
reviews/en/conllu/review_beauty_53_1.conllu	0.786	0.755	0.144	0.233	97
reviews/en/conllu/review_beauty_58_1.conllu	0.634	0.575	0.165	0.301	79
reviews/en/conllu/review_beauty_62_1.conllu	0.783	0.733	0.233	0.317	60
reviews/en/conllu/review_beauty_6_5.conllu	0.667	0.632	0.140	0.225	86
reviews/en/conllu/review_beauty_82_1.conllu	0.723	0.677	0.200	0.361	65
reviews/en/conllu/review_beauty_87_1.conllu	0.790	0.710	0.200	0.387	60
reviews/en/conllu/review_beauty_88_1.conllu	0.704	0.676	0.197	0.326	71
reviews/en/conllu/review_beauty_93_1.conllu	0.738	0.713	0.205	0.250	78
reviews/en/conllu/review_books_11_5.conllu	0.788	0.788	0.182	0.348	66
reviews/en/conllu/review_books_14_4.conllu	0.770	0.705	0.197	0.312	61
reviews/en/conllu/review_books_16_1.conllu	0.785	0.723	0.219	0.253	64
reviews/en/conllu/review_books_172_1.conllu	0.734	0.671	0.177	0.248	79
reviews/en/conllu/review_books_18_4.conllu	0.705	0.670	0.149	0.274	94
reviews/en/conllu/review_books_19_4.conllu	0.755	0.709	0.139	0.221	101
reviews/en/conllu/review_books_1_4.conllu	0.812	0.781	0.203	0.286	64
reviews/en/conllu/review_books_233_1.conllu	0.831	0.754	0.200	0.321	65
reviews/en/conllu/review_books_268_2.conllu	0.635	0.615	0.137	0.232	95
reviews/en/conllu/review_books_302_2.conllu	0.756	0.722	0.135	0.209	89
reviews/en/conllu/review_books_311_1.conllu	0.761	0.674	0.152	0.268	92
reviews/en/conllu/review_books_5_5.conllu	0.767	0.644	0.178	0.380	73
reviews/en/conllu/review_books_77_2.conllu	0.520	0.489	0.141	0.282	92
reviews/en/conllu/review_books_8_4.conllu	0.675	0.636	0.182	0.298	77
reviews/en/conllu/review_cd+vinyl_107_2.conllu	0.708	0.653	0.194	0.295	72
reviews/en/conllu/review_cd+vinyl_110_1.conllu	0.743	0.730	0.203	0.245	74
reviews/en/conllu/review_cd+vinyl_113_2.conllu	0.714	0.643	0.174	0.200	69
reviews/en/conllu/review_cd+vinyl_12_5.conllu	0.818	0.758	0.231	0.330	65
reviews/en/conllu/review_cd+vinyl_152_2.conllu	0.734	0.619	0.206	0.294	63
reviews/en/conllu/review_cd+vinyl_156_2.conllu	0.734	0.619	0.206	0.291	63
reviews/en/conllu/review_cd+vinyl_159_2.conllu	0.713	0.652	0.125	0.257	112
reviews/en/conllu/review_cd+vinyl_164_1.conllu	0.758	0.727	0.182	0.290	66
reviews/en/conllu/review_cd+vinyl_16_5.conllu	0.590	0.548	0.136	0.222	103
reviews/en/conllu/review_cd+vinyl_17_5.conllu	0.787	0.717	0.217	0.390	60
reviews/en/conllu/review_cd+vinyl_23_5.conllu	0.674	0.593	0.157	0.262	89
reviews/en/conllu/review_cd+vinyl_25_5.conllu	0.685	0.589	0.167	0.309	72
reviews/en/conllu/review_cd+vinyl_7_5.conllu	0.672	0.641	0.219	0.298	64
reviews/en/conllu/review_cd+vinyl_8_5.conllu	0.739	0.652	0.174	0.330	69
reviews/en/conllu/review_cell-phones+accessories_102_1.conllu	0.658	0.541	0.119	0.250	109
reviews/en/conllu/review_cell-phones+accessories_105_2.conllu	0.805	0.805	0.187	0.263	75
reviews/en/conllu/review_cell-phones+accessories_117_1.conllu	0.818	0.708	0.206	0.392	63
reviews/en/conllu/review_cell-phones+accessories_127_1.conllu	0.714	0.696	0.196	0.306	56
reviews/en/conllu/review_cell-phones+accessories_12_5.conllu	0.674	0.616	0.151	0.277	86
reviews/en/conllu/review_cell-phones+accessories_132_1.conllu	0.825	0.714	0.232	0.373	56
reviews/en/conllu/review_cell-phones+accessories_13_5.conllu	0.746	0.689	0.217	0.310	60
reviews/en/conllu/review_cell-phones+accessories_25_4.conllu	0.754	0.692	0.200	0.364	65
reviews/en/conllu/review_cell-phones+accessories_28_4.conllu	0.687	0.626	0.141	0.258	99
