reviews/fi/prof/conllu/review_beauty_12_4.fi.conllu	0.818	0.651	0.256	0.448	43
reviews/fi/prof/conllu/review_beauty_14_5.fi.conllu	0.736	0.717	0.176	0.319	51
reviews/fi/prof/conllu/review_beauty_17_5.fi.conllu	0.600	0.556	0.200	0.361	45
reviews/fi/prof/conllu/review_beauty_18_5.fi.conllu	0.783	0.761	0.261	0.377	46
reviews/fi/prof/conllu/review_beauty_21_5.fi.conllu	0.741	0.667	0.185	0.455	54
reviews/fi/prof/conllu/review_beauty_25_5.fi.conllu	0.878	0.755	0.204	0.424	49
reviews/fi/prof/conllu/review_beauty_53_1.fi.conllu	0.835	0.747	0.141	0.404	78
reviews/fi/prof/conllu/review_beauty_58_1.fi.conllu	0.780	0.627	0.169	0.453	59
reviews/fi/prof/conllu/review_beauty_62_1.fi.conllu	0.788	0.692	0.216	0.477	51
reviews/fi/prof/conllu/review_beauty_6_5.fi.conllu	0.780	0.712	0.155	0.360	58
reviews/fi/prof/conllu/review_beauty_82_1.fi.conllu	0.855	0.745	0.182	0.479	55
reviews/fi/prof/conllu/review_beauty_87_1.fi.conllu	0.839	0.732	0.182	0.500	55
reviews/fi/prof/conllu/review_beauty_88_1.fi.conllu	0.667	0.550	0.183	0.427	60
reviews/fi/prof/conllu/review_beauty_93_1.fi.conllu	0.803	0.712	0.188	0.385	64
reviews/fi/prof/conllu/review_books_11_5.fi.conllu	0.792	0.792	0.208	0.328	48
reviews/fi/prof/conllu/review_books_14_4.fi.conllu	0.844	0.711	0.200	0.518	45
reviews/fi/prof/conllu/review_books_16_1.fi.conllu	0.860	0.740	0.200	0.540	50
reviews/fi/prof/conllu/review_books_172_1.fi.conllu	0.815	0.741	0.185	0.485	54
reviews/fi/prof/conllu/review_books_18_4.fi.conllu	0.827	0.773	0.147	0.412	75
reviews/fi/prof/conllu/review_books_19_4.fi.conllu	0.900	0.786	0.186	0.506	70
reviews/fi/prof/conllu/review_books_1_4.fi.conllu	0.896	0.833	0.229	0.500	48
reviews/fi/prof/conllu/review_books_233_1.fi.conllu	0.827	0.750	0.231	0.465	52
reviews/fi/prof/conllu/review_books_268_2.fi.conllu	0.783	0.652	0.159	0.429	69
reviews/fi/prof/conllu/review_books_302_2.fi.conllu	0.782	0.744	0.130	0.369	77
reviews/fi/prof/conllu/review_books_311_1.fi.conllu	0.833	0.746	0.141	0.419	71
reviews/fi/prof/conllu/review_books_5_5.fi.conllu	0.869	0.672	0.197	0.558	61
reviews/fi/prof/conllu/review_books_77_2.fi.conllu	0.742	0.629	0.161	0.369	62
reviews/fi/prof/conllu/review_books_8_4.fi.conllu	0.773	0.641	0.172	0.481	64
reviews/fi/prof/conllu/review_cd+vinyl_107_2.fi.conllu	0.848	0.783	0.217	0.517	46
reviews/fi/prof/conllu/review_cd+vinyl_110_1.fi.conllu	0.830	0.774	0.208	0.485	53
reviews/fi/prof/conllu/review_cd+vinyl_113_2.fi.conllu	0.816	0.789	0.237	0.375	38
reviews/fi/prof/conllu/review_cd+vinyl_12_5.fi.conllu	0.878	0.816	0.255	0.484	47
reviews/fi/prof/conllu/review_cd+vinyl_152_2.fi.conllu	0.846	0.706	0.196	0.492	51
reviews/fi/prof/conllu/review_cd+vinyl_156_2.fi.conllu	0.860	0.720	0.200	0.452	50
reviews/fi/prof/conllu/review_cd+vinyl_159_2.fi.conllu	0.829	0.711	0.158	0.454	76
reviews/fi/prof/conllu/review_cd+vinyl_164_1.fi.conllu	0.810	0.726	0.145	0.427	62
reviews/fi/prof/conllu/review_cd+vinyl_16_5.fi.conllu	0.625	0.542	0.104	0.239	96
reviews/fi/prof/conllu/review_cd+vinyl_17_5.fi.conllu	0.870	0.761	0.217	0.500	46
reviews/fi/prof/conllu/review_cd+vinyl_23_5.fi.conllu	0.750	0.603	0.162	0.433	68
reviews/fi/prof/conllu/review_cd+vinyl_25_5.fi.conllu	0.800	0.650	0.183	0.378	60
reviews/fi/prof/conllu/review_cd+vinyl_7_5.fi.conllu	0.907	0.837	0.256	0.491	43
reviews/fi/prof/conllu/review_cd+vinyl_8_5.fi.conllu	0.841	0.795	0.227	0.483	44
reviews/fi/prof/conllu/review_cell-phones+accessories_102_1.fi.conllu	0.733	0.628	0.129	0.336	85
reviews/fi/prof/conllu/review_cell-phones+accessories_105_2.fi.conllu	0.844	0.828	0.177	0.326	62
reviews/fi/prof/conllu/review_cell-phones+accessories_117_1.fi.conllu	0.776	0.694	0.245	0.328	49
reviews/fi/prof/conllu/review_cell-phones+accessories_127_1.fi.conllu	0.800	0.725	0.200	0.462	40
reviews/fi/prof/conllu/review_cell-phones+accessories_12_5.fi.conllu	0.750	0.683	0.143	0.392	63
reviews/fi/prof/conllu/review_cell-phones+accessories_132_1.fi.conllu	0.870	0.804	0.283	0.364	46
reviews/fi/prof/conllu/review_cell-phones+accessories_13_5.fi.conllu	0.727	0.691	0.226	0.380	53
reviews/fi/prof/conllu/review_cell-phones+accessories_25_4.fi.conllu	0.830	0.702	0.213	0.381	47
reviews/fi/prof/conllu/review_cell-phones+accessories_28_4.fi.conllu	0.648	0.545	0.136	0.294	88
reviews/fi/prof/conllu/review_cell-phones+accessories_40_4.fi.conllu	0.820	0.767	0.203	0.350	59
reviews/fi/prof/conllu/review_cell-phones+accessories_47_1.fi.conllu	0.812	0.792	0.217	0.390	46
reviews/fi/prof/conllu/review_cell-phones+accessories_4_4.fi.conllu	0.826	0.717	0.217	0.452	46
reviews/fi/prof/conllu/review_cell-phones+accessories_57_5.fi.conllu	0.860	0.789	0.158	0.388	57
reviews/fi/prof/conllu/review_cell-phones+accessories_64_2.fi.conllu	0.800	0.740	0.180	0.319	50
reviews/fi/prof/conllu/review_grocery+gourmet-food_11_5.fi.conllu	0.891	0.796	0.167	0.471	54
reviews/fi/prof/conllu/review_grocery+gourmet-food_13_5.fi.conllu	0.852	0.741	0.204	0.434	54
reviews/fi/prof/conllu/review_grocery+gourmet-food_147_2.fi.conllu	0.864	0.840	0.148	0.465	81
reviews/fi/prof/conllu/review_grocery+gourmet-food_167_2.fi.conllu	0.870	0.783	0.217	0.632	46
reviews/fi/prof/conllu/review_grocery+gourmet-food_16_4.fi.conllu	0.857	0.746	0.180	0.457	61
reviews/fi/prof/conllu/review_grocery+gourmet-food_175_2.fi.conllu	0.830	0.681	0.170	0.525	47
reviews/fi/prof/conllu/review_grocery+gourmet-food_18_5.fi.conllu	0.793	0.638	0.172	0.442	58
reviews/fi/prof/conllu/review_grocery+gourmet-food_20_4.fi.conllu	0.902	0.784	0.176	0.449	51
reviews/fi/prof/conllu/review_grocery+gourmet-food_340_1.fi.conllu	0.822	0.711	0.200	0.429	45
reviews/fi/prof/conllu/review_grocery+gourmet-food_355_1.fi.conllu	0.902	0.756	0.244	0.569	41
reviews/fi/prof/conllu/review_grocery+gourmet-food_356_1.fi.conllu	0.878	0.805	0.244	0.490	41
reviews/fi/prof/conllu/review_grocery+gourmet-food_399_2.fi.conllu	0.718	0.597	0.133	0.287	75
reviews/fi/prof/conllu/review_grocery+gourmet-food_8_5.fi.conllu	0.866	0.746	0.209	0.478	67
reviews/fi/prof/conllu/review_grocery+gourmet-food_9_5.fi.conllu	0.803	0.667	0.152	0.430	66
reviews/fi/prof/conllu/review_health+care_110_1.fi.conllu	0.780	0.695	0.160	0.293	81
reviews/fi/prof/conllu/review_health+care_119_2.fi.conllu	0.868	0.717	0.189	0.437	53
reviews/fi/prof/conllu/review_health+care_127_1.fi.conllu	0.851	0.809	0.255	0.403	47
reviews/fi/prof/conllu/review_health+care_13_5.fi.conllu	0.806	0.726	0.145	0.443	62
reviews/fi/prof/conllu/review_health+care_14_5.fi.conllu	0.780	0.695	0.153	0.342	59
reviews/fi/prof/conllu/review_health+care_16_4.fi.conllu	0.855	0.836	0.200	0.405	55
reviews/fi/prof/conllu/review_health+care_185_2.fi.conllu	0.815	0.759	0.222	0.464	54
reviews/fi/prof/conllu/review_health+care_199_2.fi.conllu	0.831	0.746	0.186	0.500	59
reviews/fi/prof/conllu/review_health+care_19_5.fi.conllu	0.830	0.736	0.189	0.408	53
reviews/fi/prof/conllu/review_health+care_4_4.fi.conllu	0.839	0.758	0.164	0.421	61
reviews/fi/prof/conllu/review_health+care_53_1.fi.conllu	0.760	0.604	0.115	0.320	96
reviews/fi/prof/conllu/review_health+care_6_5.fi.conllu	0.811	0.811	0.297	0.420	37
reviews/fi/prof/conllu/review_health+care_84_1.fi.conllu	0.848	0.782	0.167	0.429	78
reviews/fi/prof/conllu/review_health+care_8_5.fi.conllu	0.840	0.800	0.220	0.507	50
