reviews/fi/stud/conllu/review_beauty_12_4.fi.conllu	0.787	0.660	0.234	0.468	47
reviews/fi/stud/conllu/review_beauty_14_5.fi.conllu	0.774	0.736	0.173	0.408	52
reviews/fi/stud/conllu/review_beauty_17_5.fi.conllu	0.653	0.612	0.184	0.353	49
reviews/fi/stud/conllu/review_beauty_18_5.fi.conllu	0.810	0.767	0.262	0.472	42
reviews/fi/stud/conllu/review_beauty_21_5.fi.conllu	0.780	0.700	0.180	0.525	50
reviews/fi/stud/conllu/review_beauty_25_5.fi.conllu	0.857	0.738	0.238	0.527	42
reviews/fi/stud/conllu/review_beauty_53_1.fi.conllu	0.882	0.788	0.141	0.430	85
reviews/fi/stud/conllu/review_beauty_58_1.fi.conllu	0.643	0.536	0.179	0.389	56
reviews/fi/stud/conllu/review_beauty_62_1.fi.conllu	0.727	0.655	0.241	0.478	54
reviews/fi/stud/conllu/review_beauty_6_5.fi.conllu	0.776	0.687	0.136	0.368	66
reviews/fi/stud/conllu/review_beauty_82_1.fi.conllu	0.878	0.735	0.184	0.516	49
reviews/fi/stud/conllu/review_beauty_87_1.fi.conllu	0.885	0.712	0.200	0.581	50
reviews/fi/stud/conllu/review_beauty_88_1.fi.conllu	0.730	0.571	0.159	0.443	63
reviews/fi/stud/conllu/review_beauty_93_1.fi.conllu	0.814	0.729	0.194	0.413	67
reviews/fi/stud/conllu/review_books_11_5.fi.conllu	0.854	0.812	0.188	0.397	48
reviews/fi/stud/conllu/review_books_14_4.fi.conllu	0.804	0.725	0.196	0.431	51
reviews/fi/stud/conllu/review_books_16_1.fi.conllu	0.913	0.804	0.196	0.468	46
reviews/fi/stud/conllu/review_books_172_1.fi.conllu	0.862	0.741	0.190	0.529	58
reviews/fi/stud/conllu/review_books_18_4.fi.conllu	0.762	0.655	0.143	0.407	84
reviews/fi/stud/conllu/review_books_19_4.fi.conllu	0.848	0.718	0.154	0.495	78
reviews/fi/stud/conllu/review_books_1_4.fi.conllu	0.932	0.886	0.250	0.611	44
reviews/fi/stud/conllu/review_books_233_1.fi.conllu	0.846	0.712	0.192	0.530	52
reviews/fi/stud/conllu/review_books_268_2.fi.conllu	0.819	0.722	0.153	0.467	72
reviews/fi/stud/conllu/review_books_302_2.fi.conllu	0.774	0.714	0.120	0.396	83
