reviews/hr/mt/conllu/LanBridge_review_beauty_12_4.conllu	0.820	0.700	0.240	0.576	50
reviews/hr/mt/conllu/LanBridge_review_beauty_14_5.conllu	0.750	0.714	0.204	0.441	54
reviews/hr/mt/conllu/LanBridge_review_beauty_17_5.conllu	0.691	0.673	0.218	0.403	55
reviews/hr/mt/conllu/LanBridge_review_beauty_18_5.conllu	0.724	0.707	0.246	0.478	57
reviews/hr/mt/conllu/LanBridge_review_beauty_21_5.conllu	0.661	0.627	0.186	0.529	59
reviews/hr/mt/conllu/LanBridge_review_beauty_25_5.conllu	0.875	0.792	0.292	0.517	48
reviews/hr/mt/conllu/LanBridge_review_beauty_53_1.conllu	0.837	0.739	0.143	0.461	91
reviews/hr/mt/conllu/LanBridge_review_beauty_58_1.conllu	0.708	0.662	0.203	0.468	64
reviews/hr/mt/conllu/LanBridge_review_beauty_62_1.conllu	0.806	0.726	0.226	0.507	62
reviews/hr/mt/conllu/LanBridge_review_beauty_6_5.conllu	0.724	0.671	0.147	0.396	75
reviews/hr/mt/conllu/LanBridge_review_beauty_82_1.conllu	0.825	0.762	0.222	0.449	63
reviews/hr/mt/conllu/LanBridge_review_beauty_87_1.conllu	0.825	0.719	0.236	0.530	55
reviews/hr/mt/conllu/LanBridge_review_beauty_88_1.conllu	0.726	0.589	0.164	0.435	73
reviews/hr/mt/conllu/LanBridge_review_beauty_93_1.conllu	0.792	0.694	0.197	0.446	71
reviews/hr/mt/conllu/LanBridge_review_books_11_5.conllu	0.815	0.759	0.204	0.367	54
reviews/hr/mt/conllu/LanBridge_review_books_14_4.conllu	0.809	0.766	0.255	0.500	47
reviews/hr/mt/conllu/LanBridge_review_books_16_1.conllu	0.778	0.667	0.264	0.463	53
reviews/hr/mt/conllu/LanBridge_review_books_172_1.conllu	0.761	0.701	0.209	0.544	67
reviews/hr/mt/conllu/LanBridge_review_books_18_4.conllu	0.802	0.679	0.160	0.458	81
reviews/hr/mt/conllu/LanBridge_review_books_19_4.conllu	0.851	0.723	0.160	0.514	94
reviews/hr/mt/conllu/LanBridge_review_books_1_4.conllu	0.926	0.870	0.241	0.540	54
reviews/hr/mt/conllu/LanBridge_review_books_233_1.conllu	0.831	0.763	0.203	0.544	59
reviews/hr/mt/conllu/LanBridge_review_books_268_2.conllu	0.767	0.663	0.140	0.441	86
reviews/hr/mt/conllu/LanBridge_review_books_302_2.conllu	0.780	0.732	0.148	0.417	81
reviews/hr/mt/conllu/LanBridge_review_books_311_1.conllu	0.790	0.679	0.160	0.436	81
reviews/hr/mt/conllu/LanBridge_review_books_5_5.conllu	0.839	0.661	0.194	0.575	62
reviews/hr/mt/conllu/LanBridge_review_books_77_2.conllu	0.693	0.600	0.160	0.385	75
reviews/hr/mt/conllu/LanBridge_review_books_8_4.conllu	0.740	0.644	0.205	0.455	73
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_107_2.conllu	0.807	0.719	0.228	0.576	57
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_110_1.conllu	0.825	0.778	0.222	0.487	63
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_113_2.conllu	0.677	0.613	0.194	0.333	62
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_12_5.conllu	0.891	0.818	0.236	0.529	55
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_152_2.conllu	0.804	0.732	0.232	0.427	57
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_156_2.conllu	0.836	0.745	0.218	0.500	56
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_159_2.conllu	0.844	0.781	0.146	0.415	96
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_164_1.conllu	0.898	0.733	0.186	0.541	59
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_16_5.conllu	0.663	0.607	0.157	0.336	89
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_17_5.conllu	0.837	0.796	0.245	0.550	49
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_23_5.conllu	0.744	0.630	0.163	0.438	80
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_25_5.conllu	0.770	0.672	0.197	0.500	61
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_7_5.conllu	0.750	0.650	0.217	0.405	60
reviews/hr/mt/conllu/LanBridge_review_cd+vinyl_8_5.conllu	0.714	0.651	0.175	0.423	63
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_102_1.conllu	0.635	0.548	0.136	0.362	103
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_105_2.conllu	0.782	0.769	0.179	0.465	83
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_117_1.conllu	0.758	0.694	0.197	0.411	61
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_127_1.conllu	0.706	0.647	0.216	0.443	51
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_12_5.conllu	0.694	0.681	0.167	0.395	72
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_132_1.conllu	0.784	0.686	0.235	0.492	51
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_13_5.conllu	0.778	0.722	0.241	0.418	54
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_25_4.conllu	0.815	0.704	0.222	0.578	54
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_28_4.conllu	0.714	0.643	0.179	0.336	84
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_40_4.conllu	0.845	0.817	0.162	0.427	68
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_47_1.conllu	0.772	0.667	0.218	0.485	55
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_4_4.conllu	0.836	0.655	0.200	0.551	55
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_57_5.conllu	0.873	0.810	0.175	0.395	63
reviews/hr/mt/conllu/LanBridge_review_cell-phones+accessories_64_2.conllu	0.793	0.638	0.207	0.479	58
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_11_5.conllu	0.781	0.703	0.188	0.487	64
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_13_5.conllu	0.855	0.758	0.242	0.487	62
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_147_2.conllu	0.809	0.718	0.118	0.412	110
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_167_2.conllu	0.844	0.703	0.194	0.554	62
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_16_4.conllu	0.753	0.712	0.197	0.483	71
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_175_2.conllu	0.879	0.741	0.207	0.549	58
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_18_5.conllu	0.712	0.627	0.203	0.437	59
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_20_4.conllu	0.873	0.709	0.218	0.545	55
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_340_1.conllu	0.746	0.644	0.237	0.388	59
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_355_1.conllu	0.800	0.680	0.240	0.534	50
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_356_1.conllu	0.800	0.680	0.240	0.534	50
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_399_2.conllu	0.674	0.593	0.183	0.374	82
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_8_5.conllu	0.831	0.747	0.181	0.526	83
reviews/hr/mt/conllu/LanBridge_review_grocery+gourmet-food_9_5.conllu	0.709	0.608	0.165	0.468	79
reviews/hr/mt/conllu/LanBridge_review_health+care_110_1.conllu	0.783	0.735	0.173	0.426	81
reviews/hr/mt/conllu/LanBridge_review_health+care_119_2.conllu	0.810	0.746	0.190	0.436	63
reviews/hr/mt/conllu/LanBridge_review_health+care_127_1.conllu	0.766	0.703	0.188	0.472	64
reviews/hr/mt/conllu/LanBridge_review_health+care_13_5.conllu	0.700	0.600	0.157	0.463	70
reviews/hr/mt/conllu/LanBridge_review_health+care_14_5.conllu	0.738	0.662	0.200	0.420	66
reviews/hr/mt/conllu/LanBridge_review_health+care_16_4.conllu	0.743	0.671	0.171	0.412	70
reviews/hr/mt/conllu/LanBridge_review_health+care_185_2.conllu	0.815	0.754	0.203	0.456	64
reviews/hr/mt/conllu/LanBridge_review_health+care_199_2.conllu	0.786	0.700	0.200	0.512	70
reviews/hr/mt/conllu/LanBridge_review_health+care_19_5.conllu	0.750	0.683	0.183	0.400	60
reviews/hr/mt/conllu/LanBridge_review_health+care_4_4.conllu	0.863	0.781	0.181	0.506	72
reviews/hr/mt/conllu/LanBridge_review_health+care_53_1.conllu	0.729	0.589	0.121	0.392	107
reviews/hr/mt/conllu/LanBridge_review_health+care_6_5.conllu	0.827	0.788	0.212	0.672	52
reviews/hr/mt/conllu/LanBridge_review_health+care_84_1.conllu	0.846	0.758	0.154	0.505	91
reviews/hr/mt/conllu/LanBridge_review_health+care_8_5.conllu	0.839	0.768	0.232	0.567	56
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_10_5.conllu	0.803	0.704	0.183	0.488	71
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_112_1.conllu	0.835	0.729	0.129	0.505	85
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_12_5.conllu	0.843	0.784	0.220	0.508	50
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_145_1.conllu	0.804	0.661	0.179	0.486	56
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_185_1.conllu	0.800	0.691	0.200	0.453	55
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_19_5.conllu	0.847	0.763	0.254	0.528	59
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_20_5.conllu	0.837	0.755	0.224	0.625	49
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_214_2.conllu	0.798	0.737	0.124	0.390	97
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_21_5.conllu	0.853	0.720	0.160	0.517	76
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_24_5.conllu	0.595	0.554	0.219	0.367	64
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_29_2.conllu	0.809	0.691	0.162	0.494	68
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_41_2.conllu	0.702	0.595	0.143	0.398	84
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_6_5.conllu	0.846	0.692	0.185	0.600	65
reviews/hr/mt/conllu/LanBridge_review_home+kitchen_96_2.conllu	0.742	0.602	0.141	0.414	93
reviews/hr/mt/conllu/LanBridge_review_movies+TV_11_5.conllu	0.868	0.776	0.173	0.523	75
reviews/hr/mt/conllu/LanBridge_review_movies+TV_187_1.conllu	0.841	0.667	0.194	0.534	62
reviews/hr/mt/conllu/LanBridge_review_movies+TV_1_4.conllu	0.821	0.732	0.214	0.457	56
reviews/hr/mt/conllu/LanBridge_review_movies+TV_20_5.conllu	0.825	0.807	0.211	0.631	57
