reviews/hr/prof/conllu/review_beauty_12_4.hr.conllu	0.765	0.686	0.216	0.541	51
reviews/hr/prof/conllu/review_beauty_14_5.hr.conllu	0.778	0.698	0.180	0.385	61
reviews/hr/prof/conllu/review_beauty_17_5.hr.conllu	0.667	0.649	0.228	0.394	57
reviews/hr/prof/conllu/review_beauty_18_5.hr.conllu	0.750	0.714	0.218	0.538	55
reviews/hr/prof/conllu/review_beauty_21_5.hr.conllu	0.738	0.646	0.154	0.520	65
reviews/hr/prof/conllu/review_beauty_25_5.hr.conllu	0.843	0.804	0.275	0.381	51
reviews/hr/prof/conllu/review_beauty_53_1.hr.conllu	0.815	0.707	0.143	0.452	91
reviews/hr/prof/conllu/review_beauty_58_1.hr.conllu	0.794	0.698	0.190	0.474	63
reviews/hr/prof/conllu/review_beauty_62_1.hr.conllu	0.797	0.712	0.237	0.557	59
reviews/hr/prof/conllu/review_beauty_6_5.hr.conllu	0.696	0.652	0.176	0.427	68
reviews/hr/prof/conllu/review_beauty_82_1.hr.conllu	0.810	0.703	0.206	0.481	63
reviews/hr/prof/conllu/review_beauty_87_1.hr.conllu	0.814	0.746	0.224	0.515	58
reviews/hr/prof/conllu/review_beauty_88_1.hr.conllu	0.714	0.584	0.169	0.418	77
reviews/hr/prof/conllu/review_beauty_93_1.hr.conllu	0.827	0.747	0.208	0.500	72
reviews/hr/prof/conllu/review_books_11_5.hr.conllu	0.810	0.746	0.190	0.341	63
reviews/hr/prof/conllu/review_books_14_4.hr.conllu	0.830	0.755	0.208	0.556	53
reviews/hr/prof/conllu/review_books_16_1.hr.conllu	0.877	0.772	0.211	0.471	57
reviews/hr/prof/conllu/review_books_172_1.hr.conllu	0.803	0.718	0.183	0.568	71
reviews/hr/prof/conllu/review_books_18_4.hr.conllu	0.753	0.662	0.169	0.430	77
reviews/hr/prof/conllu/review_books_19_4.hr.conllu	0.848	0.761	0.163	0.491	92
reviews/hr/prof/conllu/review_books_1_4.hr.conllu	0.902	0.863	0.196	0.544	51
reviews/hr/prof/conllu/review_books_233_1.hr.conllu	0.836	0.738	0.197	0.493	61
reviews/hr/prof/conllu/review_books_268_2.hr.conllu	0.745	0.663	0.133	0.448	98
reviews/hr/prof/conllu/review_books_302_2.hr.conllu	0.825	0.775	0.152	0.415	79
reviews/hr/prof/conllu/review_books_311_1.hr.conllu	0.789	0.700	0.156	0.402	90
reviews/hr/prof/conllu/review_books_5_5.hr.conllu	0.787	0.639	0.200	0.535	60
reviews/hr/prof/conllu/review_books_77_2.hr.conllu	0.683	0.561	0.146	0.350	82
reviews/hr/prof/conllu/review_books_8_4.hr.conllu	0.750	0.662	0.221	0.458	68
