reviews/ru/mt/conllu/MÜ_review_beauty_12_4.conllu	0.727	0.673	0.218	0.308	56
reviews/ru/mt/conllu/MÜ_review_beauty_14_5.conllu	0.710	0.677	0.194	0.360	63
reviews/ru/mt/conllu/MÜ_review_beauty_17_5.conllu	0.722	0.667	0.204	0.366	57
reviews/ru/mt/conllu/MÜ_review_beauty_18_5.conllu	0.678	0.655	0.224	0.346	58
reviews/ru/mt/conllu/MÜ_review_beauty_21_5.conllu	0.700	0.667	0.167	0.405	62
reviews/ru/mt/conllu/MÜ_review_beauty_25_5.conllu	0.836	0.782	0.255	0.447	55
reviews/ru/mt/conllu/MÜ_review_beauty_53_1.conllu	0.784	0.716	0.137	0.384	104
reviews/ru/mt/conllu/MÜ_review_beauty_58_1.conllu	0.686	0.614	0.186	0.457	71
reviews/ru/mt/conllu/MÜ_review_beauty_62_1.conllu	0.738	0.677	0.200	0.363	65
reviews/ru/mt/conllu/MÜ_review_beauty_6_5.conllu	0.756	0.705	0.167	0.333	79
reviews/ru/mt/conllu/MÜ_review_beauty_82_1.conllu	0.697	0.667	0.182	0.337	66
reviews/ru/mt/conllu/MÜ_review_beauty_87_1.conllu	0.810	0.707	0.211	0.434	57
reviews/ru/mt/conllu/MÜ_review_beauty_88_1.conllu	0.672	0.582	0.179	0.409	67
reviews/ru/mt/conllu/MÜ_review_beauty_93_1.conllu	0.757	0.689	0.153	0.340	73
reviews/ru/mt/conllu/MÜ_review_books_11_5.conllu	0.825	0.772	0.193	0.423	59
reviews/ru/mt/conllu/MÜ_review_books_14_4.conllu	0.796	0.776	0.265	0.492	51
reviews/ru/mt/conllu/MÜ_review_books_16_1.conllu	0.818	0.727	0.255	0.388	55
reviews/ru/mt/conllu/MÜ_review_books_172_1.conllu	0.806	0.722	0.194	0.398	74
reviews/ru/mt/conllu/MÜ_review_books_18_4.conllu	0.713	0.632	0.161	0.370	92
reviews/ru/mt/conllu/MÜ_review_books_19_4.conllu	0.767	0.711	0.156	0.413	91
reviews/ru/mt/conllu/MÜ_review_books_1_4.conllu	0.911	0.857	0.196	0.444	56
reviews/ru/mt/conllu/MÜ_review_books_233_1.conllu	0.828	0.766	0.219	0.416	64
reviews/ru/mt/conllu/MÜ_review_books_268_2.conllu	0.702	0.660	0.138	0.352	94
reviews/ru/mt/conllu/MÜ_review_books_302_2.conllu	0.736	0.692	0.121	0.358	93
reviews/ru/mt/conllu/MÜ_review_books_311_1.conllu	0.747	0.671	0.152	0.352	79
reviews/ru/mt/conllu/MÜ_review_books_5_5.conllu	0.831	0.677	0.200	0.466	65
reviews/ru/mt/conllu/MÜ_review_books_77_2.conllu	0.649	0.532	0.156	0.333	78
reviews/ru/mt/conllu/MÜ_review_books_8_4.conllu	0.772	0.646	0.177	0.448	81
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_107_2.conllu	0.780	0.746	0.220	0.418	60
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_110_1.conllu	0.785	0.738	0.215	0.344	65
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_113_2.conllu	0.809	0.750	0.176	0.305	69
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_12_5.conllu	0.825	0.841	0.217	0.459	61
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_152_2.conllu	0.778	0.698	0.190	0.364	63
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_156_2.conllu	0.783	0.700	0.200	0.386	60
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_159_2.conllu	0.796	0.735	0.133	0.311	98
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_164_1.conllu	0.833	0.750	0.200	0.386	60
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_16_5.conllu	0.620	0.550	0.130	0.271	101
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_17_5.conllu	0.814	0.763	0.220	0.420	59
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_23_5.conllu	0.720	0.622	0.146	0.402	83
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_25_5.conllu	0.716	0.642	0.179	0.467	68
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_7_5.conllu	0.778	0.714	0.238	0.379	64
reviews/ru/mt/conllu/MÜ_review_cd+vinyl_8_5.conllu	0.716	0.672	0.194	0.333	68
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_102_1.conllu	0.626	0.523	0.121	0.275	108
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_105_2.conllu	0.765	0.753	0.153	0.369	99
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_117_1.conllu	0.770	0.705	0.213	0.341	63
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_127_1.conllu	0.783	0.696	0.239	0.467	47
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_12_5.conllu	0.701	0.687	0.164	0.281	70
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_132_1.conllu	0.754	0.702	0.246	0.377	59
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_13_5.conllu	0.741	0.722	0.222	0.370	55
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_25_4.conllu	0.776	0.672	0.179	0.404	68
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_28_4.conllu	0.713	0.644	0.129	0.297	104
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_40_4.conllu	0.838	0.794	0.176	0.379	71
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_47_1.conllu	0.760	0.700	0.240	0.464	51
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_4_4.conllu	0.791	0.731	0.194	0.462	68
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_57_5.conllu	0.826	0.797	0.188	0.361	69
reviews/ru/mt/conllu/MÜ_review_cell-phones+accessories_64_2.conllu	0.705	0.623	0.197	0.353	65
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_11_5.conllu	0.734	0.734	0.188	0.442	67
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_13_5.conllu	0.727	0.667	0.197	0.380	68
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_147_2.conllu	0.797	0.712	0.110	0.327	123
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_167_2.conllu	0.718	0.690	0.155	0.384	73
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_16_4.conllu	0.667	0.613	0.162	0.308	75
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_175_2.conllu	0.776	0.672	0.207	0.418	59
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_18_5.conllu	0.721	0.656	0.197	0.432	61
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_20_4.conllu	0.833	0.733	0.217	0.468	62
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_340_1.conllu	0.692	0.662	0.185	0.263	66
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_355_1.conllu	0.837	0.767	0.279	0.414	43
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_356_1.conllu	0.837	0.767	0.279	0.414	43
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_399_2.conllu	0.648	0.615	0.143	0.297	93
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_8_5.conllu	0.795	0.773	0.159	0.383	91
reviews/ru/mt/conllu/MÜ_review_grocery+gourmet-food_9_5.conllu	0.686	0.628	0.151	0.333	87
