reviews/ru/prof/conllu/review_beauty_12_4.conllu	0.755	0.633	0.224	0.357	50
reviews/ru/prof/conllu/review_beauty_14_5.conllu	0.769	0.692	0.231	0.351	53
reviews/ru/prof/conllu/review_beauty_17_5.conllu	0.655	0.603	0.190	0.359	59
reviews/ru/prof/conllu/review_beauty_18_5.conllu	0.636	0.636	0.197	0.376	68
reviews/ru/prof/conllu/review_beauty_21_5.conllu	0.721	0.656	0.164	0.370	62
reviews/ru/prof/conllu/review_beauty_25_5.conllu	0.842	0.754	0.211	0.359	58
reviews/ru/prof/conllu/review_beauty_53_1.conllu	0.730	0.685	0.126	0.333	114
reviews/ru/prof/conllu/review_beauty_58_1.conllu	0.722	0.667	0.181	0.376	74
reviews/ru/prof/conllu/review_beauty_62_1.conllu	0.763	0.644	0.203	0.383	59
reviews/ru/prof/conllu/review_beauty_6_5.conllu	0.747	0.733	0.173	0.373	77
reviews/ru/prof/conllu/review_beauty_82_1.conllu	0.710	0.696	0.174	0.300	69
reviews/ru/prof/conllu/review_beauty_87_1.conllu	0.672	0.625	0.190	0.369	64
reviews/ru/prof/conllu/review_beauty_88_1.conllu	0.644	0.548	0.178	0.316	73
reviews/ru/prof/conllu/review_beauty_93_1.conllu	0.662	0.608	0.176	0.358	74
reviews/ru/prof/conllu/review_books_11_5.conllu	0.821	0.726	0.131	0.357	86
reviews/ru/prof/conllu/review_books_14_4.conllu	0.796	0.776	0.204	0.438	49
reviews/ru/prof/conllu/review_books_16_1.conllu	0.792	0.774	0.226	0.427	53
reviews/ru/prof/conllu/review_books_172_1.conllu	0.754	0.723	0.200	0.330	65
reviews/ru/prof/conllu/review_books_18_4.conllu	0.721	0.628	0.151	0.400	89
reviews/ru/prof/conllu/review_books_19_4.conllu	0.769	0.683	0.117	0.356	122
reviews/ru/prof/conllu/review_books_1_4.conllu	0.873	0.825	0.190	0.500	63
reviews/ru/prof/conllu/review_books_233_1.conllu	0.828	0.797	0.188	0.419	64
reviews/ru/prof/conllu/review_books_268_2.conllu	0.784	0.693	0.148	0.364	89
reviews/ru/prof/conllu/review_books_302_2.conllu	0.783	0.707	0.120	0.336	94
reviews/ru/prof/conllu/review_books_311_1.conllu	0.703	0.615	0.143	0.333	91
reviews/ru/prof/conllu/review_books_5_5.conllu	0.729	0.600	0.165	0.386	87
reviews/ru/prof/conllu/review_books_77_2.conllu	0.633	0.511	0.133	0.320	91
reviews/ru/prof/conllu/review_books_8_4.conllu	0.756	0.615	0.179	0.412	79
reviews/ru/prof/conllu/review_cd+vinyl_107_2.conllu	0.764	0.708	0.181	0.398	73
reviews/ru/prof/conllu/review_cd+vinyl_110_1.conllu	0.794	0.746	0.222	0.337	63
reviews/ru/prof/conllu/review_cd+vinyl_113_2.conllu	0.707	0.667	0.147	0.283	75
