reviews/ru/stud/conllu/review_beauty_12_4.conllu	0.740	0.680	0.240	0.357	52
reviews/ru/stud/conllu/review_beauty_14_5.conllu	0.730	0.667	0.190	0.360	65
reviews/ru/stud/conllu/review_beauty_17_5.conllu	0.606	0.576	0.182	0.373	69
reviews/ru/stud/conllu/review_beauty_18_5.conllu	0.712	0.677	0.200	0.352	65
reviews/ru/stud/conllu/review_beauty_21_5.conllu	0.689	0.639	0.180	0.375	63
reviews/ru/stud/conllu/review_beauty_25_5.conllu	0.859	0.750	0.188	0.360	64
reviews/ru/stud/conllu/review_beauty_53_1.conllu	0.746	0.728	0.123	0.323	116
reviews/ru/stud/conllu/review_beauty_58_1.conllu	0.680	0.653	0.173	0.402	77
reviews/ru/stud/conllu/review_beauty_62_1.conllu	0.773	0.712	0.182	0.378	66
reviews/ru/stud/conllu/review_beauty_6_5.conllu	0.727	0.701	0.169	0.353	78
reviews/ru/stud/conllu/review_beauty_82_1.conllu	0.770	0.754	0.164	0.333	61
reviews/ru/stud/conllu/review_beauty_87_1.conllu	0.780	0.678	0.207	0.408	59
reviews/ru/stud/conllu/review_beauty_88_1.conllu	0.638	0.580	0.159	0.407	69
reviews/ru/stud/conllu/review_beauty_93_1.conllu	0.741	0.679	0.159	0.357	82
reviews/ru/stud/conllu/review_books_11_5.conllu	0.795	0.731	0.154	0.371	78
reviews/ru/stud/conllu/review_books_14_4.conllu	0.818	0.795	0.273	0.500	45
reviews/ru/stud/conllu/review_books_16_1.conllu	0.875	0.839	0.250	0.405	58
reviews/ru/stud/conllu/review_books_172_1.conllu	0.773	0.693	0.187	0.392	76
reviews/ru/stud/conllu/review_books_18_4.conllu	0.773	0.670	0.148	0.378	91
reviews/ru/stud/conllu/review_books_19_4.conllu	0.778	0.707	0.141	0.414	103
reviews/ru/stud/conllu/review_books_1_4.conllu	0.912	0.877	0.193	0.466	57
reviews/ru/stud/conllu/review_books_233_1.conllu	0.791	0.761	0.194	0.446	67
reviews/ru/stud/conllu/review_books_268_2.conllu	0.783	0.739	0.174	0.389	70
reviews/ru/stud/conllu/review_books_302_2.conllu	0.805	0.744	0.134	0.336	83
reviews/ru/stud/conllu/review_books_311_1.conllu	0.815	0.708	0.185	0.337	65
reviews/ru/stud/conllu/review_books_5_5.conllu	0.788	0.731	0.231	0.397	54
reviews/ru/stud/conllu/review_books_77_2.conllu	0.725	0.623	0.159	0.396	70
reviews/ru/stud/conllu/review_books_8_4.conllu	0.758	0.667	0.182	0.389	68
reviews/ru/stud/conllu/review_cd+vinyl_107_2.conllu	0.793	0.741	0.224	0.443	60
reviews/ru/stud/conllu/review_cd+vinyl_110_1.conllu	0.761	0.731	0.209	0.313	68
reviews/ru/stud/conllu/review_cd+vinyl_113_2.conllu	0.746	0.712	0.169	0.291	59
reviews/ru/stud/conllu/review_cd+vinyl_12_5.conllu	0.852	0.833	0.222	0.507	54
reviews/ru/stud/conllu/review_cd+vinyl_152_2.conllu	0.840	0.780	0.240	0.414	51
reviews/ru/stud/conllu/review_cd+vinyl_156_2.conllu	0.840	0.780	0.240	0.414	51
reviews/ru/stud/conllu/review_cd+vinyl_159_2.conllu	0.774	0.726	0.155	0.339	84
reviews/ru/stud/conllu/review_cd+vinyl_164_1.conllu	0.796	0.778	0.222	0.342	54
reviews/ru/stud/conllu/review_cd+vinyl_16_5.conllu	0.649	0.585	0.138	0.277	95
reviews/ru/stud/conllu/review_cd+vinyl_17_5.conllu	0.860	0.840	0.260	0.456	50
reviews/ru/stud/conllu/review_cd+vinyl_23_5.conllu	0.766	0.688	0.143	0.346	79
reviews/ru/stud/conllu/review_cd+vinyl_25_5.conllu	0.840	0.780	0.220	0.449	51
reviews/ru/stud/conllu/review_cd+vinyl_7_5.conllu	0.812	0.792	0.292	0.455	49
reviews/ru/stud/conllu/review_cd+vinyl_8_5.conllu	0.833	0.759	0.222	0.405	54
reviews/ru/stud/conllu/review_cell-phones+accessories_102_1.conllu	0.724	0.653	0.122	0.324	100
reviews/ru/stud/conllu/review_cell-phones+accessories_105_2.conllu	0.795	0.795	0.141	0.312	79
reviews/ru/stud/conllu/review_cell-phones+accessories_117_1.conllu	0.792	0.755	0.208	0.419	55
reviews/ru/stud/conllu/review_cell-phones+accessories_127_1.conllu	0.780	0.740	0.200	0.485	50
reviews/ru/stud/conllu/review_cell-phones+accessories_12_5.conllu	0.812	0.754	0.174	0.379	72
