abcnews.306755	pr01	Warren plans to take a 'hard look' at running for president	﻿Warren planira „dobro razmisliti” o kandidaturi na predsjedničkim izborima
abcnews.306755	pr01	U.S. Sen. Elizabeth Warren says she'll take a "hard look at running for president" after the November elections.	Američka senatorica Elizabeth Warren rekla je da će „dobro razmisliti o kandidaturi na predsjedničkim izborima” nakon izbora u studenom.
abcnews.306755	pr01	The Boston Globe reports the Massachusetts Democrat spoke about her future during a town hall in western Massachusetts Saturday.	Novine Boston Globe izvijestile su da je demokratkinja iz Massachusettsa govorila o svojim planovima za budućnost u obraćanju javnosti u zapadnom Massachusettsu ove subote.
abcnews.306755	pr01	Warren, a frequent critic of President Donald Trump, is running for re-election in November against GOP state Rep. Geoff Diehl, who was co-chairman of Trump's 2016 Massachusetts campaign.	Warren, koja često kritizira predsjednika Donalda Trumpa, kandidirala se za reizbor u studenom, a protukandidat joj je republikanski zastupnik države Geoff Diehl, koji je bio supredsjedatelj Trumpove kampanje u Massachusettsu 2016. godine.
abcnews.306755	pr01	She has been at the center of speculation that she might take on Trump in 2020.	Nagađa se da bi se mogla suočiti s Trumpom na izborima 2020. godine.
abcnews.306755	pr01	Saturday afternoon's event in Holyoke was her 36th meeting with constituents using the town hall format since Trump took office.	Događaj koji je održan ove subote popodne u Holyokeu bio je njezin 36. sastanak s biračima u obliku obraćanja javnosti otkako je Trump preuzeo dužnost predsjednika.
abcnews.306755	pr01	An attendee asked her if she planned to run for president.	Jedan ju je sudionik pitao planira li se kandidirati za predsjednicu.
abcnews.306755	pr01	Warren replied that it's time "for women to go to Washington to fix our broken government, and that includes a woman at the top."	Warren je odgovorila da je vrijeme „da žene dođu u Washington popraviti našu pokvarenu vladu, a to uključuje i žene na vrhu.”
abcnews.306758	pr02	Mexico's AMLO vows not to use military against civilians	﻿Novoizabrani meksički predsjednik zavjetovao se da neće koristiti vojsku protiv civila
abcnews.306758	pr02	Mexican President-elect Andres Manuel Lopez Obrador has vowed to never use military force against civilians as the country approaches the 50th anniversary of a bloody reprisal against students.	Dok se država približava 50. obljetnici krvave odmazde nad studentima novoizabrani meksički predsjednik Andrés Manuel López Obrador zavjetovao se da nikad neće koristiti vojnu silu protiv civila.
abcnews.306758	pr02	Lopez Obrador promised Saturday at Tlatelolco Plaza to "never ever use the military to repress the Mexican people."	López Obrador obećao je u subotu na trgu u četvrti Tlatelolco da „nikad neće koristiti vojsku za prisilu nad meksičkim narodom”.
abcnews.306758	pr02	Troops fired on a peaceful demonstration at the plaza on Oct. 2, 1968, killing as many as 300 people at a time when leftist student movements were taking root throughout Latin America.	Vojska je 2. listopada 1968., u vrijeme kad su širom Latinske Amerike jačali ljevičarski studentski pokreti, otvorila vatru na mirne demonstracije na trgu, pri čemu je ubijeno više od 300 ljudi.
abcnews.306758	pr02	Lopez Obrador has pledged to support young Mexicans by giving monthly subsidies to those who study and opening more free public universities.	López Obrador obećao je pružiti potporu mladima u Meksiku mjesečnim subvencijama za studente i otvaranjem novih besplatnih javnih sveučilišta.
abcnews.306758	pr02	He has said that unemployment and a lack of educational opportunities draws youth to criminal gangs.	Rekao je da nezaposlenost i manjak mogućnosti za obrazovanje usmjeravaju mlade kriminalnim skupinama.
abcnews.306764	pr03	Volcano spews ash on Mexico City	﻿Vulkan izbacuje pepeo po Mexico Cityju
abcnews.306764	pr03	Ash spewing from the Popocatepetl volcano has reached the southern neighborhoods of Mexico's capital.	Pepeo iz vulkana Popocatepetl stigao je do južnih četvrti glavnoga grada Meksika.
abcnews.306764	pr03	The National Center for Disaster Prevention warned Mexicans on Saturday to stay away from the volcano after activity picked up in the crater and it registered 183 emissions of gas and ash over 24 hours.	Nacionalni centar za prevenciju katastrofa u subotu je upozorio Meksikance da se drže podalje od vulkana nakon što je u krateru došlo do aktivnosti i nakon što su tijekom 24 sata zabilježene 183 emisije plina i pepela.
abcnews.306764	pr03	The center was monitoring multiple rumblings and tremors.	Centar je nadzirao više pojava tutnjave i podrhtavanja tla.
abcnews.306764	pr03	Images on social media showed thin layers of ash coating car windshields in neighborhoods of Mexico City such as Xochimilco.	Na slikama na društvenim mrežama prikazuju se automobili s tankim slojem pepela na vjetrobranima u četvrtima Mexico Cityja kao što je Xochimilco.
abcnews.306764	pr03	Geophysicists have noticed an increase in activity at the volcano that sits 45 miles (72 kilometers) southeast of the capital since a 7.1-magnitude earthquake rocked central Mexico in September 2017.	Otkad je potres jačine 7,1 stupnja pogodio središnji Meksiko u rujnu 2017. godine, geofizičari primjećuju povećanje aktivnosti vulkana koji se nalazi 72 kilometra (45 milja) jugoistočno od glavnoga grada.
abcnews.306764	pr03	The volcano known as "Don Goyo" has been active since 1994.	Vulkan poznat kao „Don Goyo” aktivan je od 1994. godine.
abcnews.306776	pr04	Analyst lays out timeline of night woman was burned alive	﻿Analitičar opisao slijed događaja u noći tijekom koje je žena živa spaljena
abcnews.306776	pr04	The prosecution rested its case Saturday in the retrial of a man who is accused of burning a Mississippi woman alive in 2014.	Tužiteljstvo je u subotu završilo s izlaganjem predmeta u ponovnom suđenju muškarcu optuženom da je 2014. živu spalio ženu iz Mississippija.
abcnews.306776	pr04	U.S. Department of Justice Analyst Paul Rowlett testified for hours as an expert witness in the field of intelligence analysis.	Analitičar američkog Ministarstva pravosuđa Paul Rowlett satima je svjedočio kao sudski vještak u području analize obavještajnih podataka.
abcnews.306776	pr04	He outlined for the jury how he used cellphone records to piece together the movements of 29-year-old defendant Quinton Tellis and the 19-year-old victim, Jessica Chambers, on the night she died.	Poroti je opisao kako je upotrijebio telefonske podatke kako bi utvrdio kretanje 29-godišnjeg tuženika Quintona Tellisa i 19-godišnje žrtve Jessice Chambers tijekom noći u kojoj je preminula.
abcnews.306776	pr04	Rowlett said he received location data from several cellphones that showed Tellis was with Chambers the evening of her death, contradicting his previous claims, The Clarion Ledger reported .	Rowlett je rekao da je s više mobilnih telefona dobio podatke o lokaciji prema kojima je Tellis tu večer bio s Jessicom Chambers, što je proturječno njegovim prethodnim tvrdnjama, izvijestile su lokalne dnevne novine The Clarion Ledger.
abcnews.306776	pr04	When data showed his cellphone was with Chambers' during the time he said he was with his friend Michael Sanford, police went to talk to Sanford.	Kada su podaci pokazali da je njegov mobilni telefon bio na istom mjestu kao i Jessicin u vrijeme za koje je rekao da je proveo s prijateljem Michaelom Sanfordom, policija je razgovarala sa Sanfordom.
abcnews.306776	pr04	Sanford took the stand Saturday and testified that he wasn't in town that day.	Sanford je svjedočio u subotu i potvrdio da taj dan nije bio u gradu.
abcnews.306776	pr04	When prosecutors asked if Tellis was telling the truth when he said he was in Sanford's truck that night, Sanford said he was "lying, because my truck was in Nashville."	Kada ga je tužiteljstvo pitalo je li Tellis govorio istinu o tome da je tu noć bio u Sanfordovu kamionu, Sanford je rekao da je „lagao jer je kamion bio u Nashvilleu”.
abcnews.306776	pr04	Another inconsistency was that Tellis said he had known Chambers for about two weeks when she died.	Proturječno je bilo i to što je Tellis izjavio da je Jessicu poznavao oko dva tjedna u vrijeme kada je preminula.
abcnews.306776	pr04	Cellphone records indicated they'd only known each other for a week.	Prema telefonskim podacima poznavali su se samo tjedan dana.
abcnews.306776	pr04	Rowlett said that sometime after Chambers' death, Tellis deleted Chambers' texts, calls and contact information from his phone.	Rowlett je rekao da je neko vrijeme nakon Jessicine smrti Tellis izbrisao Jessicine poruke, pozive i kontaktne podatke sa svojeg telefona.
abcnews.306776	pr04	"He erased her from his life," Hale said.	„Izbrisao ju je iz svoga života”, rekao je Hale.
abcnews.306776	pr04	The defense is scheduled to begin its closing arguments Sunday.	Obrana će iznijeti svoju završnu riječ u nedjelju.
abcnews.306776	pr04	The judge said he expected the trial to go to the jury later that day.	Sudac je izjavio da očekuje da će porota odlučivati o presudi kasnije taj dan.
bbc.381647	pr01	Kanye West: Rapper changes his name to Ye	﻿Reper Kanye West mijenja ime u „Ye”
bbc.381647	pr01	Rapper Kanye West is changing his name - to Ye.	Reper Kanye West promijenio je svoje ime u „Ye”.
bbc.381647	pr01	Announcing the change on Twitter on Saturday, he wrote: "The being formally known as Kanye West."	Promjenu imena objavio je na Twitteru u subotu, kad je napisao: „Biće prethodno poznato kao Kanye West.”
bbc.381647	pr01	West, 41, has been nicknamed Ye for some time and used the moniker as the title for his eighth album, which was released in June.	West (41) služi se nadimkom Ye već neko vrijeme, a upotrijebio ga je i kao naslov svojeg osmog albuma, koji je izašao u lipnju.
bbc.381647	pr01	The change comes ahead of his appearance on Saturday Night Live, where he is expected to launch his new album Yandhi.	Promjena se dogodila uoči njegova pojavljivanja u emisiji Saturday Night Live, u kojoj bi trebao promovirati svoj novi album Yandhi.
bbc.381647	pr01	He replaces singer Ariana Grande on the show who cancelled for "emotional reasons," the show's creator said.	U emisiju dolazi umjesto pjevačice Ariane Grande, koja je otkazala pojavljivanje zbog „emocionalnih razloga”, rekao je tvorac emisije.
bbc.381647	pr01	As well as being an abbreviation of his current professional name, West has previously said the word has religious significance for him.	Osim što predstavlja skraćenicu njegova trenutačnog umjetničkog imena, West je još prije rekao da ta riječ za njega ima vjerski značaj.
bbc.381647	pr01	"I believe 'ye' is the most commonly used word in the Bible, and in the Bible it means 'you,'" West said earlier this year, discussing his album title with radio host Big Boy.	„Mislim da je ‚ye’ najučestalija riječ u Bibliji, gdje ona znači ‚ti’”, rekao je West ranije ove godine dok je raspravljao o nazivu albuma s radijskim voditeljem Big Boyem.
bbc.381647	pr01	"So I'm you, I'm us, it's us.	„Dakle, ja sam ti, ja sam mi, to smo mi.
bbc.381647	pr01	It went from Kanye, which means the only one, to just Ye - just being a reflection of our good, our bad, our confused, everything.	Prije sam bio Kanye, što znači ‚jedini’, a sad sam Ye, što je odraz naših dobrih, loših, zbunjenih i svih ostalih strana.
bbc.381647	pr01	The album is more of a reflection of who we are."	Taj je album više odraz onoga što smo mi.”
bbc.381647	pr01	He is one of a number of famous rappers to change their name.	West je jedan od brojnih slavnih repera koji su promijenili ime.
bbc.381647	pr01	Sean Combs has been variously known as Puff Daddy, P. Diddy or Diddy, but this year announced his preference for the names Love and Brother Love.	Sean Combs bio je poznat pod raznim imenima, poput Puff Daddy, P. Diddy i Diddy, ali je ove godine izjavio da preferira imena Love i Brother Love.
bbc.381647	pr01	A former West collaborator, JAY-Z, has also made do with or without a hyphen and capitals.	Bivši Westov suradnik JAY-Z također je u svojem imenu eksperimentirao sa spojnicom te velikim i malim slovima.
bbc.381669	pr01	HIV/Aids: China reports 14% surge in new cases	﻿HIV/sida: Kina bilježi porast novih slučajeva od 14 %
bbc.381669	pr01	China has announced a 14% jump in the number of its citizens who are living with HIV and Aids.	Kina je objavila informaciju o skoku od 14 % u broju građana koji žive s virusom HIV-a i sidom.
