abcnews.306755	st01	Warren plans to take a 'hard look' at running for president	Warren planira ozbiljno razmisliti o kandidaturi za predsjednicu
abcnews.306755	st01	U.S. Sen. Elizabeth Warren says she'll take a "hard look at running for president" after the November elections.	Američka senatorica Elizabeth Warren rekla je da će "ozbiljno razmisliti o kandidaturi za predsjednicu" nakon izbora u studenom.
abcnews.306755	st01	The Boston Globe reports the Massachusetts Democrat spoke about her future during a town hall in western Massachusetts Saturday.	Časopis "The Boston Globe" navodi da je Warren, demokratkinja iz Massachusettsa, govorila o svojoj političkoj budućnosti na sastanku s glasačima u zapadnom Massachusettsu u subotu.
abcnews.306755	st01	Warren, a frequent critic of President Donald Trump, is running for re-election in November against GOP state Rep. Geoff Diehl, who was co-chairman of Trump's 2016 Massachusetts campaign.	Warren, žestoka kritičarka predsjednika Donalda Trumpa, borit će se za ponovni mandat u Senatu na izborima u studenom protiv kandidata Republikanske stranke u Massachusettsu Geoffa Diehla, koji je bio zamjenik voditelja Trumpove kampanje u toj državi 2016.
abcnews.306755	st01	She has been at the center of speculation that she might take on Trump in 2020.	Mnogi su nagađali da bi se upravo ona mogla suprotstaviti Trumpu na izborima 2020.
abcnews.306755	st01	Saturday afternoon's event in Holyoke was her 36th meeting with constituents using the town hall format since Trump took office.	Sastanak u Holyokeu koji je održan u subotu popodne bio je njen 36. sastanak s glasačima u formatu gradske skupštine otkako je Trump postao predsjednik.
abcnews.306755	st01	An attendee asked her if she planned to run for president.	Jedan od sudionika pitao ju je planira li se kandidirati za predsjednicu.
abcnews.306755	st01	Warren replied that it's time "for women to go to Washington to fix our broken government, and that includes a woman at the top."	Warren je odgovorila da je vrijeme "da žene odu u Washington i poprave našu slomljenu vladu, a to podrazumijeva i ženu na samom vrhu."
abcnews.306758	st02	Mexico's AMLO vows not to use military against civilians	Andres Manuel Lopez Obrador obećao da neće slati vojsku na civile
abcnews.306758	st02	Mexican President-elect Andres Manuel Lopez Obrador has vowed to never use military force against civilians as the country approaches the 50th anniversary of a bloody reprisal against students.	Izabrani meksički predsjednik Andres Manuel Lopez Obrador obećao da nikad neće upotrijebiti vojnu silu na civilima, dok se država približava 50. godišnjici krvavog obračuna sa studentima.
abcnews.306758	st02	Lopez Obrador promised Saturday at Tlatelolco Plaza to "never ever use the military to repress the Mexican people."	Lopez Obrador je u subotu na trgu Tlatelolco Plaza obećao da "nikad neće upotrijebiti vojsku za represiju meksičkog naroda".
abcnews.306758	st02	Troops fired on a peaceful demonstration at the plaza on Oct. 2, 1968, killing as many as 300 people at a time when leftist student movements were taking root throughout Latin America.	Na mirnom prosvjedu na trgu koji se održao 2. listopada 1968. godine, vojska je pucala na prosvjednike i usmrtila čak 300 ljudi, i to u vrijeme kad su se ljevičarski studentski pokreti počeli širiti po Latinskoj Americi.
abcnews.306758	st02	Lopez Obrador has pledged to support young Mexicans by giving monthly subsidies to those who study and opening more free public universities.	Lopez Obrador obećao je i da će pomoći mladim Meksikancima putem mjesečnih stipendija studentima te otvaranjem novih javnih sveučilišta.
abcnews.306758	st02	He has said that unemployment and a lack of educational opportunities draws youth to criminal gangs.	Rekao je da nezaposlenost i nedostatak obrazovnih mogućnosti usmjerava mlade prema kriminalnim bandama.
abcnews.306764	st19	Volcano spews ash on Mexico City	Vulkanski pepeo pada na Me ksiko City 
abcnews.306764	st19	Ash spewing from the Popocatepetl volcano has reached the southern neighborhoods of Mexico's capital.	Pepeo iz vulkana Popokatepetla došao je do južnih četvrti glavnog grada Meksika. 
abcnews.306764	st19	The National Center for Disaster Prevention warned Mexicans on Saturday to stay away from the volcano after activity picked up in the crater and it registered 183 emissions of gas and ash over 24 hours.	Nacionalni centar za sprječavanje katastrofa u subotu je upozorio Meksikance da se drže podalje od vulkana nakon što je u krateru zabilježena aktivnost tijekom koje su u 24 sata zabilježene 183 emisije plinova i pepela. 
abcnews.306764	st19	The center was monitoring multiple rumblings and tremors.	Centar je pratio tutnjavu i brojna podrhtavanja. 
abcnews.306764	st19	Images on social media showed thin layers of ash coating car windshields in neighborhoods of Mexico City such as Xochimilco.	Fotografije sa društvenih mreža pokazivale su kako tanki slojevi pepela pokrivaju vjetrobrane automobila u nekim četvrtima Me ksiko Cityja, poput četvrti Xochimilc o . 
abcnews.306764	st19	Geophysicists have noticed an increase in activity at the volcano that sits 45 miles (72 kilometers) southeast of the capital since a 7.1-magnitude earthquake rocked central Mexico in September 2017.	Geofizičari primje ćuju povećanje aktivnosti vulkana, koji se nalazi 45 milja (72 kilometra) jugoistočno od glavnog grada, još od rujna 2017., kada je središnje dijelove Meksika pogodio potres magnitude 7.1 po Richteru. 
abcnews.306764	st19	The volcano known as "Don Goyo" has been active since 1994.	Vulkan, koji je poznat pod nazivom „Don Goyo “, aktivan je od 1994. 
